CMDLINE D:\Users\chen_\Anaconda3\python.exe mip_scenario_noFinance3.py
MEM 195.136719 1599793543.4549
MEM 196.933594 1599793543.5556
MEM 198.769531 1599793543.6563
MEM 200.593750 1599793543.7571
MEM 202.414062 1599793543.8578
MEM 204.246094 1599793543.9585
MEM 206.070312 1599793544.0592
MEM 207.890625 1599793544.1600
MEM 209.714844 1599793544.2607
MEM 211.558594 1599793544.3615
MEM 213.378906 1599793544.4622
MEM 215.203125 1599793544.5629
MEM 217.027344 1599793544.6637
MEM 218.835938 1599793544.7644
MEM 220.648438 1599793544.8651
MEM 222.476562 1599793544.9658
MEM 224.289062 1599793545.0666
MEM 226.097656 1599793545.1673
MEM 227.914062 1599793545.2680
MEM 229.730469 1599793545.3688
MEM 231.546875 1599793545.4695
MEM 233.367188 1599793545.5702
MEM 235.191406 1599793545.6710
MEM 237.105469 1599793545.7717
MEM 239.031250 1599793545.8724
MEM 240.957031 1599793545.9731
MEM 242.898438 1599793546.0739
MEM 244.816406 1599793546.1746
MEM 246.863281 1599793546.2753
MEM 249.101562 1599793546.3761
MEM 251.847656 1599793546.4768
MEM 254.089844 1599793546.5775
MEM 255.878906 1599793546.6782
MEM 257.679688 1599793546.7790
MEM 259.496094 1599793546.8797
MEM 261.289062 1599793546.9805
MEM 263.085938 1599793547.0812
MEM 264.902344 1599793547.1819
MEM 266.695312 1599793547.2826
MEM 268.488281 1599793547.3834
MEM 270.289062 1599793547.4841
MEM 272.109375 1599793547.5848
MEM 273.902344 1599793547.6856
MEM 275.707031 1599793547.7863
MEM 277.515625 1599793547.8870
MEM 279.320312 1599793547.9878
MEM 281.117188 1599793548.0885
MEM 282.906250 1599793548.1892
MEM 284.714844 1599793548.2899
MEM 286.507812 1599793548.3906
MEM 288.300781 1599793548.4914
MEM 290.117188 1599793548.5921
MEM 291.906250 1599793548.6929
MEM 293.707031 1599793548.7936
MEM 295.523438 1599793548.8943
MEM 297.324219 1599793548.9951
MEM 299.117188 1599793549.0958
MEM 300.921875 1599793549.1965
MEM 302.726562 1599793549.2973
MEM 304.511719 1599793549.3980
MEM 306.289062 1599793549.4987
MEM 308.089844 1599793549.5995
MEM 309.871094 1599793549.7001
MEM 311.660156 1599793549.8009
MEM 313.445312 1599793549.9016
MEM 315.246094 1599793550.0024
MEM 317.035156 1599793550.1031
MEM 318.828125 1599793550.2038
MEM 320.632812 1599793550.3046
MEM 322.421875 1599793550.4053
MEM 324.203125 1599793550.5060
MEM 326.011719 1599793550.6067
MEM 327.800781 1599793550.7075
MEM 329.570312 1599793550.8082
MEM 331.363281 1599793550.9089
MEM 333.160156 1599793551.0096
MEM 334.949219 1599793551.1104
MEM 336.742188 1599793551.2111
MEM 338.550781 1599793551.3119
MEM 340.332031 1599793551.4126
MEM 342.117188 1599793551.5133
MEM 343.835938 1599793551.6141
MEM 345.636719 1599793551.7148
MEM 347.378906 1599793551.8155
MEM 349.167969 1599793551.9162
MEM 350.968750 1599793552.0170
MEM 352.757812 1599793552.1177
MEM 354.542969 1599793552.2184
MEM 356.351562 1599793552.3192
MEM 358.136719 1599793552.4199
MEM 359.925781 1599793552.5206
MEM 361.707031 1599793552.6214
MEM 363.511719 1599793552.7221
MEM 365.292969 1599793552.8228
MEM 367.082031 1599793552.9236
MEM 368.878906 1599793553.0243
MEM 370.667969 1599793553.1250
MEM 372.457031 1599793553.2257
MEM 374.230469 1599793553.3265
MEM 375.972656 1599793553.4272
MEM 377.761719 1599793553.5279
MEM 379.546875 1599793553.6287
MEM 381.351562 1599793553.7294
MEM 383.140625 1599793553.8301
MEM 384.929688 1599793553.9309
MEM 386.714844 1599793554.0316
MEM 388.500000 1599793554.1323
MEM 390.292969 1599793554.2331
MEM 392.078125 1599793554.3338
MEM 393.882812 1599793554.4345
MEM 395.667969 1599793554.5352
MEM 397.449219 1599793554.6360
MEM 399.257812 1599793554.7367
MEM 401.070312 1599793554.8374
MEM 402.875000 1599793554.9381
MEM 404.683594 1599793555.0389
MEM 406.503906 1599793555.1396
MEM 408.324219 1599793555.2404
MEM 410.152344 1599793555.3411
MEM 411.968750 1599793555.4418
MEM 413.773438 1599793555.5425
MEM 415.585938 1599793555.6433
MEM 417.398438 1599793555.7440
MEM 419.207031 1599793555.8447
MEM 421.011719 1599793555.9454
MEM 422.824219 1599793556.0462
MEM 424.628906 1599793556.1469
MEM 426.433594 1599793556.2477
MEM 428.242188 1599793556.3484
MEM 430.046875 1599793556.4491
MEM 431.855469 1599793556.5499
MEM 433.683594 1599793556.6506
MEM 435.476562 1599793556.7513
MEM 437.308594 1599793556.8520
MEM 439.191406 1599793556.9527
MEM 441.089844 1599793557.0535
MEM 442.972656 1599793557.1542
MEM 444.878906 1599793557.2550
MEM 446.757812 1599793557.3557
MEM 448.832031 1599793557.4564
MEM 450.972656 1599793557.5572
MEM 454.089844 1599793557.6579
MEM 529.957031 1599793557.7586
MEM 771.164062 1599793557.8593
MEM 458.050781 1599793557.9601
MEM 453.054688 1599793558.0608
MEM 592.382812 1599793558.1615
MEM 824.976562 1599793558.2622
MEM 863.234375 1599793558.3630
MEM 1058.246094 1599793558.4637
MEM 1273.339844 1599793558.5645
MEM 1280.375000 1599793558.6652
MEM 1602.578125 1599793558.7659
MEM 2033.894531 1599793558.8666
MEM 2244.527344 1599793558.9674
MEM 2565.085938 1599793559.0681
MEM 2998.906250 1599793559.1688
MEM 3358.828125 1599793559.2696
MEM 3588.460938 1599793559.3703
MEM 3746.359375 1599793559.4710
MEM 3840.761719 1599793559.5718
MEM 3953.148438 1599793559.6725
MEM 4045.148438 1599793559.7732
MEM 4180.054688 1599793559.8739
MEM 4285.117188 1599793559.9747
MEM 4361.691406 1599793560.0754
MEM 4390.773438 1599793560.1761
MEM 4416.867188 1599793560.2768
MEM 4433.734375 1599793560.3776
MEM 4446.890625 1599793560.4783
MEM 4463.136719 1599793560.5791
MEM 4472.843750 1599793560.6798
MEM 4484.925781 1599793560.7805
MEM 4485.660156 1599793560.8813
MEM 4497.878906 1599793560.9820
MEM 4501.597656 1599793561.0827
MEM 4483.125000 1599793561.1835
MEM 4487.257812 1599793561.2842
MEM 4518.425781 1599793561.3849
MEM 4677.773438 1599793561.4856
MEM 4824.109375 1599793561.5863
MEM 5063.851562 1599793561.6871
MEM 5468.648438 1599793561.7878
MEM 5896.570312 1599793561.8886
MEM 6312.984375 1599793561.9893
MEM 6750.214844 1599793562.0900
MEM 7078.000000 1599793562.1908
MEM 7279.417969 1599793562.2915
MEM 7488.796875 1599793562.3922
MEM 7627.582031 1599793562.4930
MEM 7664.566406 1599793562.5936
MEM 7665.796875 1599793562.6944
MEM 7666.941406 1599793562.7952
MEM 7666.941406 1599793562.8958
MEM 7666.941406 1599793562.9966
MEM 7666.941406 1599793563.0973
MEM 7668.304688 1599793563.1980
MEM 7671.027344 1599793563.2988
MEM 7671.062500 1599793563.3995
MEM 7671.105469 1599793563.5002
MEM 7671.156250 1599793563.6010
MEM 7672.207031 1599793563.7017
MEM 7674.171875 1599793563.8024
MEM 7674.210938 1599793563.9031
MEM 7674.246094 1599793564.0039
MEM 7674.292969 1599793564.1046
MEM 7677.843750 1599793564.2053
MEM 7681.058594 1599793564.3061
MEM 7684.265625 1599793564.4068
MEM 7684.265625 1599793564.5076
MEM 7684.265625 1599793564.6083
MEM 7684.265625 1599793564.7090
MEM 7684.265625 1599793564.8097
MEM 7686.253906 1599793564.9104
MEM 7688.613281 1599793565.0112
MEM 7690.226562 1599793565.1119
MEM 7690.226562 1599793565.2126
MEM 7690.226562 1599793565.3134
MEM 7690.226562 1599793565.4141
MEM 7690.226562 1599793565.5149
MEM 7690.226562 1599793565.6156
MEM 7690.226562 1599793565.7163
MEM 7690.226562 1599793565.8170
MEM 7690.226562 1599793565.9178
MEM 7690.226562 1599793566.0185
MEM 7690.226562 1599793566.1192
MEM 7690.226562 1599793566.2199
MEM 7690.226562 1599793566.3207
MEM 7690.226562 1599793566.4214
MEM 7690.226562 1599793566.5222
MEM 7690.226562 1599793566.6229
MEM 7690.226562 1599793566.7236
MEM 7690.207031 1599793566.8243
MEM 7690.187500 1599793566.9251
MEM 7690.167969 1599793567.0258
MEM 7690.167969 1599793567.1265
MEM 7690.167969 1599793567.2273
MEM 7690.167969 1599793567.3280
MEM 7690.167969 1599793567.4287
MEM 7690.167969 1599793567.5295
MEM 7690.167969 1599793567.6302
MEM 7690.167969 1599793567.7309
MEM 7690.152344 1599793567.8317
MEM 7690.152344 1599793567.9324
MEM 7690.152344 1599793568.0331
MEM 7690.152344 1599793568.1338
MEM 7690.152344 1599793568.2346
MEM 7690.156250 1599793568.3353
MEM 7756.824219 1599793568.4360
MEM 7865.960938 1599793568.5367
MEM 7977.328125 1599793568.6375
MEM 8186.593750 1599793568.7382
MEM 8417.792969 1599793568.8389
MEM 8647.996094 1599793568.9397
MEM 8851.679688 1599793569.0404
MEM 9056.187500 1599793569.1411
MEM 9235.671875 1599793569.2419
MEM 9273.828125 1599793569.3426
MEM 9274.332031 1599793569.4433
MEM 8753.187500 1599793569.5441
MEM 8892.691406 1599793569.6448
MEM 9053.246094 1599793569.7455
MEM 8748.414062 1599793569.8462
MEM 8715.082031 1599793569.9470
MEM 8754.093750 1599793570.0477
MEM 9140.250000 1599793570.1484
MEM 9518.609375 1599793570.2492
MEM 9826.343750 1599793570.3499
MEM 10038.773438 1599793570.4506
MEM 10326.558594 1599793570.5514
MEM 10678.125000 1599793570.6521
MEM 10883.589844 1599793570.7528
MEM 10962.878906 1599793570.8535
MEM 11062.195312 1599793570.9543
MEM 11221.839844 1599793571.0550
MEM 11374.734375 1599793571.1558
MEM 11374.925781 1599793571.2565
MEM 11375.050781 1599793571.3572
MEM 11375.167969 1599793571.4580
MEM 11375.320312 1599793571.5587
MEM 11375.558594 1599793571.6594
MEM 11375.714844 1599793571.7601
MEM 11375.796875 1599793571.8609
MEM 11375.867188 1599793571.9616
MEM 11375.933594 1599793572.0623
MEM 11375.988281 1599793572.1630
MEM 11376.035156 1599793572.2638
MEM 11376.089844 1599793572.3645
MEM 11376.113281 1599793572.4653
MEM 11376.113281 1599793572.5660
MEM 11376.113281 1599793572.6667
MEM 11376.113281 1599793572.7675
MEM 11376.113281 1599793572.8682
MEM 11376.113281 1599793572.9689
MEM 11376.113281 1599793573.0696
MEM 11376.113281 1599793573.1704
MEM 11376.113281 1599793573.2711
MEM 11376.113281 1599793573.3718
MEM 11376.113281 1599793573.4725
MEM 11376.113281 1599793573.5733
MEM 11376.113281 1599793573.6740
MEM 11376.113281 1599793573.7747
MEM 11376.113281 1599793573.8755
MEM 11376.113281 1599793573.9762
