run,Final Value,Q1_0,Q2_0,Q3_0
35,43510.41373854546,10.35186199938828,18.69331580380691,14.914861509155031
36,43520.698881361335,17.691939711045176,18.69331580380691,14.914861509155031
37,43520.698881361306,17.69193971104631,18.69331580380691,14.914861509155031
38,43520.69888136125,17.69193971104628,18.69331580380691,14.914861509155031
39,43520.69888136124,17.69193971104563,18.69331580380691,14.914861509155031
40,43520.698881361204,17.69193971104699,18.69331580380691,14.914861509155031
41,43520.69888136115,17.69193971104673,18.69331580380691,14.914861509155031
42,43520.698881361335,17.691939711045176,18.69331580380691,14.914861509155031
43,43520.69888136129,17.69193971104655,18.69331580380691,14.914861509155031
44,43520.69888136125,17.69193971104628,18.69331580380691,14.914861509155031
45,45510.90033832752,0.0,18.69331580380691,14.914861509155031
46,45510.90033832748,0.0,18.69331580380691,14.914861509155031
47,45510.90033832743,0.0,18.69331580380691,14.914861509155031
48,45510.900338327425,0.0,18.69331580380691,14.914861509155031
49,45510.90033832738,1.2992781453898974e-14,18.69331580380691,14.914861509155031
50,45510.900338327345,0.0,18.69331580380691,14.914861509155031
51,45510.90033832752,0.0,18.69331580380691,14.914861509155031
52,45510.900338327476,1.2992781453898974e-14,18.69331580380691,14.914861509155031
53,45510.90033832743,0.0,18.69331580380691,14.914861509155031
54,45546.28954256046,0.0,18.69331580380691,14.914861509155031
55,45546.28954256042,0.0,18.69331580380691,14.914861509155031
56,45546.28954256037,0.0,18.69331580380691,14.914861509155031
57,45546.289542560364,1.2992781453898974e-14,18.69331580380691,14.914861509155031
58,45546.28954256031,0.0,18.69331580380691,14.914861509155031
59,45546.289542560284,0.0,18.69331580380691,14.914861509155031
60,45546.28954256045,0.0,18.69331580380691,14.914861509155031
61,45546.28954256041,0.0,18.69331580380691,14.914861509155031
62,45546.28954256037,0.0,18.69331580380691,14.914861509155031
63,45566.161569567186,1.9230521903253741,18.69331580380691,14.914861509155031
64,45566.161569567164,1.9230521903264892,18.69331580380691,14.914861509155031
65,45566.161569567106,1.9230521903264781,18.69331580380691,14.914861509155031
66,45566.161569567106,1.9230521903258349,18.69331580380691,14.914861509155031
67,45566.16156956706,1.92305219032719,18.69331580380691,14.914861509155031
68,45566.161569567026,1.9230521903269195,18.69331580380691,14.914861509155031
69,45566.161569567186,1.9230521903253741,18.69331580380691,14.914861509155031
70,45566.16156956715,1.9230521903267501,18.69331580380691,14.914861509155031
71,45566.161569567106,1.9230521903264743,18.69331580380691,14.914861509155031
72,45566.161569567186,1.9230521903253741,18.69331580380691,14.914861509155031
73,45566.161569567164,1.9230521903264892,18.69331580380691,14.914861509155031
74,45566.161569567106,1.9230521903264781,18.69331580380691,14.914861509155031
75,45566.161569567106,1.9230521903258349,18.69331580380691,14.914861509155031
76,45566.16156956706,1.92305219032719,18.69331580380691,14.914861509155031
77,45566.161569567026,1.9230521903269195,18.69331580380691,14.914861509155031
78,45566.161569567186,1.9230521903253741,18.69331580380691,14.914861509155031
79,45566.16156956715,1.9230521903267501,18.69331580380691,14.914861509155031
80,45566.161569567106,1.9230521903264743,18.69331580380691,14.914861509155031
81,45566.161569567186,1.9230521903253741,18.69331580380691,14.914861509155031
82,45566.161569567164,1.9230521903264892,18.69331580380691,14.914861509155031
83,45566.161569567106,1.9230521903264781,18.69331580380691,14.914861509155031
84,45566.161569567106,1.9230521903258349,18.69331580380691,14.914861509155031
85,45566.16156956706,1.92305219032719,18.69331580380691,14.914861509155031
86,45566.161569567026,1.9230521903269195,18.69331580380691,14.914861509155031
87,45566.161569567186,1.9230521903253741,18.69331580380691,14.914861509155031
88,45566.16156956715,1.9230521903267501,18.69331580380691,14.914861509155031
89,45566.161569567106,1.9230521903264743,18.69331580380691,14.914861509155031
90,46719.08024416852,0.0,18.69331580380691,14.914861509155031
