run,Final Value,Q1_0,Q2_0,Q3_0
1129,40464.00061388216,0.0,41.075585154668886,22.158714655267215
1132,40464.00061388216,1.2992781453898974e-14,41.075585154668886,22.158714655267215
1136,40477.482333335254,0.0,41.075585154668886,19.186859186871587
1134,40477.62536156078,0.0,41.075585154668886,19.28685918686692
1135,40477.62536156099,0.0,41.075585154668886,19.286859186865424
1139,40477.766100037436,0.0,41.075585154668886,22.158714655266078
1142,40477.766100037436,0.0,41.075585154668886,22.15871465526606
1137,40477.766100037785,0.0,41.075585154668886,22.15871465526678
1140,40477.766100037785,0.0,41.075585154668886,22.15871465526678
1138,40477.76610003799,0.0,41.075585154668886,22.158714655267218
1141,40477.76610003799,0.0,41.075585154668886,22.158714655267218
1145,40505.38742234137,0.0,41.075585154668886,25.55376435065096
1143,40505.38742234172,0.0,41.075585154668886,25.55376435065239
1144,40505.38742234193,0.0,41.075585154668886,25.553764350653275
1148,40505.4400447825,0.0,41.075585154668886,22.158714655266063
1151,40505.4400447825,0.0,41.075585154668886,22.158714655266063
1146,40505.440044782845,0.0,41.075585154668886,22.158714655266778
1149,40505.440044782845,0.0,41.075585154668886,22.158714655266778
1147,40505.440044783056,0.0,41.075585154668886,22.158714655267218
1150,40505.440044783056,0.0,41.075585154668886,22.158714655267218
1157,40568.9867387297,0.0,41.075585154668886,22.15871465526606
1160,40568.9867387297,0.0,41.075585154668886,22.15871465526606
1155,40568.98673873004,0.0,41.075585154668886,19.286859186871794
1158,40568.98673873004,0.0,41.075585154668886,22.158714655266778
1156,40568.98673873025,0.0,41.075585154668886,22.158714655267218
1159,40568.98673873025,0.0,41.075585154668886,22.158714655267218
1154,40568.98673873037,0.0,41.075585154668886,22.158714655261186
1152,40568.98673873072,0.0,41.075585154668886,22.158714655261903
1153,40568.98673873093,0.0,41.075585154668886,22.158714655262333
1166,40626.580692369665,0.0,41.075585154668886,25.817332233287743
1169,40626.580692369665,0.0,41.075585154668886,25.817332233287743
1164,40626.58069237001,0.0,41.075585154668886,25.817332233287743
1167,40626.58069237001,0.0,41.075585154668886,25.817332233287743
1165,40626.58069237022,0.0,41.075585154668886,25.817332233287743
1168,40626.58069237022,0.0,41.075585154668886,25.817332233287743
1163,40626.58069237032,0.0,41.075585154668886,25.817332233287743
1161,40626.58069237067,0.0,41.075585154668886,25.817332233287743
1162,40626.58069237089,0.0,41.075585154668886,25.817332233287743
47,40712.56523934078,0.0,34.427451208566424,17.308967964613075
45,40712.565239341115,0.0,34.427451208566424,17.30896796461063
46,40712.56523934133,0.0,34.427451208566424,17.308967964609145
50,40712.65706602622,0.0,34.427451208566424,20.1808234330032
53,40712.65706602622,0.0,34.427451208566424,20.1808234330032
48,40712.65706602656,0.0,34.427451208566424,20.18082343300391
51,40712.657066026564,0.0,34.427451208566424,20.180823433003916
49,40712.657066026775,0.0,34.427451208566424,20.180823433004356
52,40712.657066026775,0.0,34.427451208566424,20.180823433004353
56,40726.37455589675,0.0,34.427451208566424,22.72803357021536
54,40726.3745558971,0.0,34.427451208566424,22.72803357021536
55,40726.37455589731,0.0,34.427451208566424,22.72803357021536
59,40726.42255218205,0.0,34.427451208566424,20.180823433003205
