value,S1,S2,time(s),
42750.37881,1747,0,58.62992811,
42750.37881,1748,0,58.32992864,
42750.37881,1749,0,58.04993033,
42750.37881,1750,0,59.24993396,
42750.37881,1751,0,58.70993471,
42750.37881,1752,0,58.86992669,
42750.37881,1753,0,60.7999289,
42750.37881,1754,0,58.41047049,
42750.37881,1755,0,58.73989773,
42750.37881,1756,0,58.80993056,
42750.37881,1757,0,58.83198023,
42420.24196,1758,0,58.09993744,
42750.37881,1759,0,59.25989795,
42750.37881,1760,0,57.94111848,
42420.24196,1761,0,57.47989917,
42420.24196,1762,0,58.46993446,
42750.37881,1763,0,58.82989478,
42750.37881,1764,0,59.79904461,
42750.37881,1765,0,61.56992698,
42750.37881,1766,0,59.14989877,
42750.37881,1767,0,58.90993023,
42750.37881,1768,0,58.34989977,
42750.37881,1769,0,59.49993229,
42750.37881,1770,0,58.62989116,
42750.37881,1771,0,59.10993743,
42750.37881,1772,0,58.34994173,
42750.37881,1773,0,59.38993335,
42750.37881,1774,0,58.81044579,
42750.37881,1775,0,58.90989709,
42750.37881,1776,0,59.31992722,
42750.37881,1777,0,59.13991451,
42750.37881,1778,0,58.49987268,
42750.37881,1779,0,59.64992833,
42750.37881,1780,0,58.31993532,
42750.37881,1781,0,58.14990067,
42750.37881,1782,0,59.54992795,
42750.37881,1783,0,58.49992299,
42750.37881,1784,0,59.9903574,
42750.37881,1785,0,59.04992795,
42750.37881,1786,0,60.73992991,
42750.37881,1787,0,58.98992753,
42750.37881,1788,0,59.34990144,
42750.37881,1789,0,59.2495091,
42750.37881,1790,0,58.24990749,
42750.37881,1791,0,58.69992661,
42750.37881,1792,0,58.41989303,
42750.37881,1793,0,58.99995017,
42750.37881,1794,0,59.2999258,
42750.37881,1795,0,59.09992957,
42750.37881,1796,0,58.12987781,
42750.37881,1797,0,59.73993373,
42750.37881,1798,0,59.09986639,
42750.37881,1799,0,59.1199317,
42441.20337,1800,0,60.38993168,
42441.20337,1801,0,57.87990212,
42441.20337,1802,0,57.39993191,
42441.20337,1803,0,58.01992869,
42750.37881,1804,0,58.56991005,
42750.37881,1805,0,59.04991674,
42441.20337,1806,0,57.85993123,
42750.37881,1807,0,58.81993437,
42750.37881,1808,0,58.84990144,
42750.37881,1809,0,60.8899262,
42750.37881,1810,0,58.35989714,
42750.37881,1811,0,59.17992997,
42441.20337,1812,0,58.49992847,
42750.37881,1813,0,58.13993001,
42750.37881,1814,0,63.09990025,
42750.37881,1815,0,59.48989582,
42750.37881,1816,0,58.40990567,
42750.37881,1817,0,59.3399291,
42750.37881,1818,0,59.17711329,
42750.37881,1819,0,58.41992903,
42750.37881,1820,0,59.67990446,
42441.20337,1821,0,58.02992511,
42750.37881,1822,0,58.61989903,
42750.37881,1823,0,59.21993232,
42441.20337,1824,0,58.38993096,
42750.37881,1825,0,58.43089175,
42750.37881,1826,0,61.4799242,
42750.37881,1827,0,58.82991719,
42750.37881,1828,0,58.66991138,
42750.37881,1829,0,58.24993634,
42750.37881,1830,0,58.71989942,
42750.37881,1831,0,58.65987277,
42750.37881,1832,0,58.00993919,
42441.20337,1833,0,58.00992942,
42750.37881,1834,0,59.48993421,
42750.37881,1835,0,59.28050685,
42750.37881,1836,0,58.46884274,
42750.37881,1837,0,58.98993492,
42750.37881,1838,0,58.75991893,
42441.20337,1839,0,57.82990098,
42750.37881,1840,0,58.83992887,
42750.37881,1841,0,58.52993464,
42441.20337,1842,0,57.4699316,
42750.37881,1843,0,59.12992954,
42750.37881,1844,0,58.30989981,
42750.37881,1845,0,59.64049554,
42750.37881,1846,0,64.99991798,
42750.37881,1847,0,66.6599164,
42423.8226,1848,0,58.15993476,
42750.37881,1849,0,58.85993242,
42750.37881,1850,0,58.98993206,
