value,value_fix,S1,ref_S,time
46992.60264,37441.45492,214,62,100.2108064
46992.60264,37441.45492,215,62,100.2108064
47262.05522,37441.45492,216,62,100.2108064
47262.05522,37441.45492,217,62,100.2108064
47262.05522,37441.45492,218,62,100.2108064
47262.05522,37441.45492,219,62,100.2108064
47262.05522,37441.45492,220,62,100.2108064
47262.05522,37441.45492,221,62,100.2108064
47262.05522,37441.45492,222,62,100.2108064
47262.05522,37441.45492,223,62,100.2108064
47262.05522,37441.45492,224,62,100.2108064
46994.02831,37441.45492,225,62,100.2108064
46994.02831,37441.45492,226,62,100.2108064
46994.02831,37441.45492,227,62,100.2108064
46994.02831,37441.45492,228,62,100.2108064
46994.02831,37441.45492,229,62,100.2108064
46994.02831,37441.45492,230,62,100.2108064
46994.02831,37441.45492,231,62,100.2108064
46994.02831,37441.45492,232,62,100.2108064
46994.02831,37441.45492,233,62,100.2108064
46992.60264,37441.45492,234,62,100.2108064
46992.60264,37441.45492,235,62,100.2108064
46992.60264,37441.45492,236,62,100.2108064
46992.60264,37441.45492,237,62,100.2108064
46992.60264,37441.45492,238,62,100.2108064
46992.60264,37441.45492,239,62,100.2108064
46992.60264,37441.45492,240,62,100.2108064
46992.60264,37441.45492,241,62,100.2108064
46992.60264,37441.45492,242,62,100.2108064
46825.00222,37441.45492,243,62,100.2108064
46825.00222,37441.45492,244,62,100.2108064
46825.00222,37441.45492,245,62,100.2108064
46825.00222,37441.45492,246,62,100.2108064
46825.00222,37441.45492,247,62,100.2108064
46825.00222,37441.45492,248,62,100.2108064
46825.00222,37441.45492,249,62,100.2108064
46825.00222,37441.45492,250,62,100.2108064
46825.00222,37441.45492,251,62,100.2108064
46825.00222,37441.45492,252,62,100.2108064
46825.00222,37441.45492,253,62,100.2108064
46825.00222,37441.45492,254,62,100.2108064
46825.00222,37441.45492,255,62,100.2108064
46825.00222,37441.45492,256,62,100.2108064
46825.00222,37441.45492,257,62,100.2108064
46825.00222,37441.45492,258,62,100.2108064
46825.00222,37441.45492,259,62,100.2108064
46825.00222,37441.45492,260,62,100.2108064
46825.00222,37441.45492,261,62,100.2108064
46825.00222,37441.45492,262,62,100.2108064
46825.00222,37441.45492,263,62,100.2108064
46825.00222,37441.45492,264,62,100.2108064
46825.00222,37441.45492,265,62,100.2108064
46825.00222,37441.45492,266,62,100.2108064
46825.00222,37441.45492,267,62,100.2108064
46825.00222,37441.45492,268,62,100.2108064
46825.00222,37441.45492,269,62,100.2108064
46819.44046,37441.45492,270,62,100.2108064
46819.44046,37441.45492,271,62,100.2108064
